season_id,match_id,date,city,venue,floodlit,match_title,team1,team2,toss_winner,toss_decision,team1_score,team1_wickets,team1_overs,team2_score,team2_wickets,team2_overs,team1_captain,team2_captain,team1_players,team2_players,winner,result_type,win_margin,player_of_match,umpire1,umpire2,tv_umpire,reserve_umpire,match_referee
1,10,2012-02-15T00:00:00.000Z,Dhaka,"Shere Bangla National Stadium, Mirpur",day,11th Match,Sylhet Royals,Chittagong Kings,Sylhet Royals,Bat,152.0,4.0,20.0,154.0,3.0,17.3,Peter Trego,Mahmudullah,"['Kamran Akmal', 'Imrul Kayes', 'Peter Trego', 'Alok Kapali', 'Scott Styris', 'Shuvagata Hom', 'Sohail Tanvir', 'Brad Hogg', 'Abul Hasan', 'Nabil Samad', 'Naeem Islam']","['Nasir Jamshed', 'Jahurul Islam', 'Jason Roy', 'Ziaur Rahman', 'Mahmudullah', 'Kevon Cooper', 'Farhad Reza', 'Dwayne Bravo', 'Arafat Sunny', 'Enamul Haque jnr', 'Muthiah Muralidaran']",Chittagong Kings,Wickets,7.0,Mahmudullah,Enamul Haque,Jeremy Lloyds,Masudur Rahman,Anisur Rahman,Mike Procter
1,11,2012-02-15T00:00:00.000Z,Dhaka,"Shere Bangla National Stadium, Mirpur",night,12th Match,Khulna Royal Bengals,Duronto Rajshahi,Khulna Royal Bengals,Bat,145.0,7.0,20.0,146.0,4.0,19.1,Shakib Al Hasan,,"['Shivnarine Chanderpaul', 'Herschelle Gibbs', 'Sanath Jayasuriya', 'Dwayne Smith', 'Shakib Al Hasan', 'Nasir Hossain', 'Andre Russell', 'Nazmul Hossain Milon', 'Abdur Razzak', 'Saghir Hossain', 'Shafiul Islam']","['Shahzaib Hasan', 'Zunaed Siddique', 'Marlon Samuels', 'Fawad Alam', 'Mushfiqur Rahim', 'Abdul Razzaq', 'Sabbir Rahman', 'Ariful Haque', 'Mohammad Sami', 'Muktar Ali', 'Saqlain Sajib']",Duronto Rajshahi,Wickets,6.0,Mushfiqur Rahim,David Orchard,Masudur Rahman,Enamul Haque,Anisur Rahman,Mike Procter
1,12,2012-02-16T00:00:00.000Z,Dhaka,"Shere Bangla National Stadium, Mirpur",day,13th Match,Barisal Burners,Chittagong Kings,Chittagong Kings,Bowl,125.0,6.0,20.0,126.0,2.0,12.4,Shahriar Nafees,Mahmudullah,"['Ahmed Shehzad', 'Chris Gayle', 'Mohammad Mithun', 'Brad Hodge', 'Mominul Haque', 'Alauddin Babu', 'Shahriar Nafees', 'Yasir Arafat', 'Kabir Ali', 'Sohag Gazi', 'Nazmul Islam']","['Nasir Jamshed', 'Jahurul Islam', 'Kevon Cooper', 'Arafat Sunny', 'Mahmudullah', 'Jason Roy', 'Farhad Reza', 'Dwayne Bravo', 'Ziaur Rahman', 'Enamul Haque jnr', 'Muthiah Muralidaran']",Chittagong Kings,Wickets,8.0,Nasir Jamshed,David Orchard,Enamul Haque,Sharfuddoula,Mahfuzur Rahman,Raqibul Hasan
1,13,2012-02-16T00:00:00.000Z,Dhaka,"Shere Bangla National Stadium, Mirpur",night,14th Match,Duronto Rajshahi,Dhaka Gladiators,Dhaka Gladiators,Bowl,144.0,9.0,20.0,130.0,7.0,20.0,,Mohammad Ashraful,"['Shahzaib Hasan', 'Zunaed Siddique', 'Marlon Samuels', 'Khalid Latif', 'Mushfiqur Rahim', 'Abdul Razzaq', 'Sabbir Rahman', 'Muktar Ali', 'Mohammad Sami', 'Monir Hossain', 'Saqlain Sajib']","['Imran Nazir', 'Anamul Haque', 'Mohammad Ashraful', 'Alexei Kervezee', 'Kieron Pollard', 'Darren Stevens', 'Aftab Ahmed', 'Naved-ul-Hasan', 'Elias Sunny', 'Nazmul Hossain', 'Mosharraf Hossain']",Duronto Rajshahi,Runs,14.0,Marlon Samuels,Jeremy Lloyds,Sharfuddoula,Enamul Haque,Mahfuzur Rahman,Raqibul Hasan
1,14,2012-02-18T00:00:00.000Z,Chattogram,"Zahur Ahmed Chowdhury Stadium, Chittagong",day,15th Match,Khulna Royal Bengals,Sylhet Royals,Sylhet Royals,Bowl,171.0,6.0,20.0,169.0,8.0,20.0,Shakib Al Hasan,Peter Trego,"['Shivnarine Chanderpaul', 'Herschelle Gibbs', 'Dwayne Smith', 'Sanath Jayasuriya', 'Shakib Al Hasan', 'Nasir Hossain', 'Nazmul Hossain Milon', 'Andre Russell', 'Saghir Hossain', 'Abdur Razzak', 'Shafiul Islam']","['Kamran Akmal', 'Imrul Kayes', 'Alok Kapali', 'Scott Styris', 'Peter Trego', 'Shuvagata Hom', 'Sohail Tanvir', 'Naeem Islam', 'Brad Hogg', 'Talha Jubair', 'Nabil Samad']",Khulna Royal Bengals,Runs,2.0,Andre Russell,Enamul Haque,Jeremy Lloyds,Sharfuddoula,Anisur Rahman,Mike Procter
1,15,2012-02-18T00:00:00.000Z,Chattogram,"Zahur Ahmed Chowdhury Stadium, Chittagong",night,16th Match,Duronto Rajshahi,Chittagong Kings,Duronto Rajshahi,Bat,126.0,6.0,20.0,117.0,9.0,20.0,,Mahmudullah,"['Shahzaib Hasan', 'Zunaed Siddique', 'Khalid Latif', 'Marlon Samuels', 'Mushfiqur Rahim', 'Abdul Razzaq', 'Sabbir Rahman', 'Muktar Ali', 'Mohammad Sami', 'Monir Hossain', 'Saqlain Sajib']","['Nasir Jamshed', 'Jahurul Islam', 'Jason Roy', 'Ziaur Rahman', 'Mahmudullah', 'Shamsur Rahman', 'Dwayne Bravo', 'Farhad Reza', 'Kevon Cooper', 'Sunzamul Islam', 'Arafat Sunny']",Duronto Rajshahi,Runs,9.0,Saqlain Sajib,David Orchard,Sharfuddoula,Enamul Haque,Anisur Rahman,Mike Procter
1,16,2012-02-19T00:00:00.000Z,Chattogram,"Zahur Ahmed Chowdhury Stadium, Chittagong",day,17th Match,Dhaka Gladiators,Khulna Royal Bengals,Dhaka Gladiators,Bat,140.0,8.0,20.0,141.0,3.0,16.4,Mashrafe Mortaza,Shakib Al Hasan,"['Imran Nazir', 'Mohammad Ashraful', 'Azhar Mahmood', 'Darren Stevens', 'Kieron Pollard', 'Anamul Haque', 'Naved-ul-Hasan', 'Mashrafe Mortaza', 'Mehrab Hossain jnr', 'Elias Sunny', 'Mosharraf Hossain']","['Shivnarine Chanderpaul', 'Sanath Jayasuriya', 'Dwayne Smith', 'Shakib Al Hasan', 'Nazmul Hossain Milon', ""Niall O'Brien"", 'Andre Russell', 'Nasir Hossain', 'Abdur Razzak', 'Marshall Ayub', 'Shafiul Islam']",Khulna Royal Bengals,Wickets,7.0,Shivnarine Chanderpaul,David Orchard,Sharfuddoula,Enamul Haque,Gazi Sohel,Raqibul Hasan
1,17,2012-02-19T00:00:00.000Z,Chattogram,"Zahur Ahmed Chowdhury Stadium, Chittagong",night,18th Match,Sylhet Royals,Barisal Burners,Sylhet Royals,Bat,120.0,7.0,20.0,121.0,1.0,13.2,Alok Kapali,Brad Hodge,"['Kamran Akmal', 'Imrul Kayes', 'Tom Maynard', 'Alok Kapali', 'Raza Ali Dar', 'Shuvagata Hom', 'Sohail Tanvir', 'Naeem Islam', 'Brad Hogg', 'Abul Hasan', 'Nabil Samad']","['Ahmed Shehzad', 'Brad Hodge', 'Phil Mustard', 'Farhad Hossain', 'Mominul Haque', 'Sohrawordi Shuvo', 'Mohammad Mithun', 'Rameez Raja', 'Nazmul Islam', 'Yasir Arafat', 'Al-Amin Hossain']",Barisal Burners,Wickets,9.0,Brad Hodge,Enamul Haque,Jeremy Lloyds,Sharfuddoula,Gazi Sohel,Raqibul Hasan
1,18,2012-02-20T00:00:00.000Z,Chattogram,"Zahur Ahmed Chowdhury Stadium, Chittagong",day,19th Match,Barisal Burners,Duronto Rajshahi,Barisal Burners,Bat,192.0,3.0,20.0,193.0,1.0,17.1,Brad Hodge,,"['Ahmed Shehzad', 'Brad Hodge', 'Phil Mustard', 'Mohammad Mithun', 'Rameez Raja', 'Mominul Haque', 'Farhad Hossain', 'Nazmul Islam', 'Al-Amin Hossain', 'Sohrawordi Shuvo', 'Yasir Arafat']","['Shahzaib Hasan', 'Zunaed Siddique', 'Marlon Samuels', 'Mushfiqur Rahim', 'Sabbir Rahman', 'Saqlain Sajib', 'Muktar Ali', 'Abdul Razzaq', 'Mohammad Sami', 'Monir Hossain', 'Khalid Latif']",Duronto Rajshahi,Wickets,9.0,Zunaed Siddique,Enamul Haque,Jeremy Lloyds,Sharfuddoula,Anisur Rahman,Mike Procter
1,19,2012-02-20T00:00:00.000Z,Chattogram,"Zahur Ahmed Chowdhury Stadium, Chittagong",night,20th Match,Khulna Royal Bengals,Chittagong Kings,Chittagong Kings,Bowl,137.0,6.0,20.0,93.0,10.0,18.1,Shakib Al Hasan,Mahmudullah,"['Shivnarine Chanderpaul', 'Herschelle Gibbs', 'Dwayne Smith', 'Shakib Al Hasan', ""Niall O'Brien"", 'Nasir Hossain', 'Marshall Ayub', 'Andre Russell', 'Nazmul Hossain Milon', 'Abdur Razzak', 'Dolar Mahmud']","['Nasir Jamshed', 'Tamim Iqbal', 'Jason Roy', 'Jahurul Islam', 'Mahmudullah', 'Dwayne Bravo', 'Ziaur Rahman', 'Arafat Sunny', 'Kevon Cooper', 'Muthiah Muralidaran', 'Enamul Haque jnr']",Khulna Royal Bengals,Runs,44.0,Nasir Hossain,David Orchard,Sharfuddoula,Enamul Haque,Anisur Rahman,Mike Procter
